Names,Quiz,Exam
Student1,6,60
Student2,8,80
Student3,0,0
Student4,0,0
Student5,10,100
Student6,2,20
Student7,8,80
Student8,2,20
Student9,2,20
Student10,4,40
Student11,1,10
Student12,10,100
Student13,6,60
Student14,10,100
Student15,8,80
Student16,7,70
Student17,6,60
Student18,9,90
Student19,5,50
Student20,5,50
Student21,4,40
Student22,10,100
Student23,7,70
Student24,7,70
Student25,10,100
Student26,4,40
Student27,10,100
Student28,6,60
Student29,6,60
Student30,3,30
Student31,5,50
Student32,3,30
Student33,10,100
Student34,7,70
Student35,6,60
Student36,7,70
Student37,2,20
Student38,5,50
Student39,8,80
Student40,1,10
Student41,2,20
Student42,8,80
Student43,8,80
Student44,0,0
Student45,7,70
Student46,9,90
Student47,9,90
Student48,9,90
Student49,0,0
Student50,2,20
Names,Quiz,Exam
Student51,9,90
Student52,3,30
Student53,8,80
Student54,8,80
Student55,9,90
Student56,5,50
Student57,9,90
Student58,7,70
Student59,9,90
Student60,0,0
Student61,5,50
Student62,7,70
Student63,0,0
Student64,6,60
Student65,2,20
Student66,0,0
Student67,5,50
Student68,0,0
Student69,6,60
Student70,5,50
Student71,2,20
Student72,1,10
Student73,2,20
Names,Quiz,Exam
Student74,9,90
Student75,6,60
Student76,6,60
Student77,4,40
Student78,5,50
Student79,0,0
Student80,7,70
Student81,6,60
Student82,10,100
Student83,6,60
Student84,0,0
Student85,6,60
Student86,10,100
Student87,3,30
Student88,1,10
Student89,3,30
Student90,5,50
Student91,2,20
Student92,10,100
Student93,0,0
Student94,10,100
Student95,6,60
Student96,3,30
Student97,1,10
Student98,0,0
Student99,1,10
Student100,3,30
Student101,1,10
Student102,4,40
Student103,3,30
Student104,8,80
Student105,3,30
Student106,7,70
Student107,8,80
Student108,0,0
Student109,0,0
Student110,6,60
Student111,7,70
Student112,1,10
Student113,9,90
Student114,6,60
Student115,1,10
Student116,3,30
Student117,0,0
Student118,4,40
Student119,0,0
Student120,9,90
Student121,9,90
Student122,8,80
Student123,8,80
